學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,11,8,3,14.10
111,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,3,3,0,7.14
111,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),2,1,1,1.44
111,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,5,3,2,17.86
111,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),1,1,0,0.61
111,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,5,4,1,23.81
111,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),52,41,11,19.62
111,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),3,3,0,0.65
111,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),7,6,1,2.08
111,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,7,6,1,8.43
111,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),5,3,2,1.75
111,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),3,1,2,1.35
111,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,10,4,6,22.73
111,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),4,0,4,2.34
111,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),3,2,1,2.65
111,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,18,8,10,31.58
111,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),4,1,3,7.27
111,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),6,6,0,11.11
111,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,19,14,5,46.34
111,公立,一般大學,0002,國立清華大學,07194066,工程與系統科學系,碩士班(日間),4,2,2,1.97
111,公立,一般大學,0002,國立清華大學,07194066,工程與系統科學系,博士班,26,21,5,30.23
111,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),3,0,3,2.17
111,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,34,19,15,24.82
111,公立,一般大學,0002,國立清華大學,99999074,跨院國際碩士學位學程,碩士班(日間),19,3,16,39.58
111,公立,一般大學,0002,國立清華大學,99999120,清華學院國際學士班,學士班(日間),202,95,107,81.78
111,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),11,2,9,18.64
111,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,2,0,2,14.29
111,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),1,0,1,0.59
111,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),1,0,1,2.38
111,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),3,1,2,1.22
111,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),7,6,1,9.21
111,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,5,4,1,11.36
111,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),7,1,6,3.78
111,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),3,0,3,9.38
111,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),4,2,2,2.08
111,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),1,1,0,2.00
111,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,博士班,4,2,2,16.00
111,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),22,8,14,3.83
111,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),7,1,6,10.29
111,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,博士班,2,1,1,13.33
111,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),3,0,3,6.67
111,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),6,2,4,10.00
111,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),2,1,1,4.65
111,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),48,15,33,19.35
111,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),22,7,15,24.72
111,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,11,5,6,23.91
111,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),6,4,2,19.35
111,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,博士班,5,3,2,33.33
