學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,380,35,15,10,0,0,0,0,5,0,20,0,0,4,16,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,1044,53,27,13,0,0,2,2,10,0,26,1,0,5,20,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,363,28,2,2,0,0,0,0,0,0,26,0,0,6,20,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,229,14,4,1,0,0,0,0,3,0,10,1,0,5,4,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1935,34,22,21,0,0,1,0,0,0,12,0,0,2,10,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,171,24,7,6,0,0,0,0,1,0,17,0,0,6,11,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,547,22,13,7,0,0,0,2,4,0,9,3,0,1,5,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,271,10,0,0,0,0,0,0,0,0,10,0,0,2,8,0
112,1,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,98,7,5,3,0,0,1,0,1,0,2,1,0,1,0,0
112,1,公立,一般大學,0013,國立中正大學,學士班(日間),男,3555,103,47,41,0,0,1,1,4,0,56,13,0,3,39,1
