學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),女,168,9,1,0,0,0,1,0,0,...,...,...,...,...,...,...,7
105,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),女,3,3,0,0,0,1,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),男,11,8,0,0,1,2,1,0,1,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),女,22,11,0,1,3,3,3,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,女,8,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),男,90,7,0,0,0,2,2,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),男,30,7,0,0,2,3,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,男,33,5,0,0,0,2,0,0,1,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),女,282,7,4,0,0,2,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),女,57,9,1,0,3,1,4,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,女,32,9,1,0,2,0,1,0,2,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,男,14,7,1,0,3,1,2,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,女,54,59,0,0,21,0,9,4,22,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),女,22,5,0,0,0,3,0,0,1,...,...,...,...,...,...,...,1
