學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
105,1,公立,一般大學,0013,國立中正大學,博士班,男,395,15,1,0,2,10,0,0,0,0,...,...,0
105,1,公立,一般大學,0013,國立中正大學,學士班(日間),女,3040,54,5,0,23,25,0,0,0,0,...,...,0
105,1,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1040,45,10,0,0,30,0,0,0,2,...,...,1
105,1,公立,一般大學,0013,國立中正大學,碩士在職專班,女,738,34,20,0,0,11,0,0,1,1,...,...,1
105,1,公立,一般大學,0013,國立中正大學,博士班,女,175,9,4,0,1,1,0,0,0,0,...,...,0
105,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1693,53,7,0,39,5,0,0,0,2,...,...,0
105,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,511,36,0,0,3,0,0,0,0,6,...,...,3
105,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,429,20,0,0,0,11,0,0,0,0,...,...,8
105,1,公立,一般大學,0014,國立高雄師範大學,博士班,男,232,11,0,0,1,0,0,0,0,2,...,...,1
105,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,1832,30,1,0,25,3,0,0,0,0,...,...,1
105,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,852,56,2,0,2,0,0,0,1,18,...,...,9
105,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,824,20,0,0,0,8,0,0,0,0,...,...,11
105,1,公立,一般大學,0014,國立高雄師範大學,博士班,女,235,5,0,0,1,0,0,0,0,1,...,...,0
105,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2518,79,15,0,36,23,0,0,0,1,...,...,0
105,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,776,54,6,0,6,33,0,0,0,1,...,...,2
105,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,569,4,0,0,0,0,0,0,0,3,...,...,1
105,1,公立,一般大學,0015,國立彰化師範大學,博士班,男,284,14,3,0,0,8,0,0,0,0,...,...,0
105,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2346,27,3,0,15,6,0,0,0,0,...,...,0
105,1,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,772,42,2,0,1,29,0,0,1,1,...,...,2
105,1,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,729,7,0,0,0,0,0,0,2,4,...,...,1
105,1,公立,一般大學,0015,國立彰化師範大學,博士班,女,198,6,1,0,0,3,0,0,0,0,...,...,0
105,1,公立,一般大學,0016,國立陽明大學,學士班(日間),男,1165,36,1,0,10,14,0,0,0,0,...,...,11
105,1,公立,一般大學,0016,國立陽明大學,碩士班(日間),男,487,25,1,0,1,14,0,0,0,2,...,...,5
105,1,公立,一般大學,0016,國立陽明大學,碩士在職專班,男,43,2,0,0,0,1,0,0,0,0,...,...,1
105,1,公立,一般大學,0016,國立陽明大學,博士班,男,559,21,0,0,0,10,0,0,0,0,...,...,9
105,1,公立,一般大學,0016,國立陽明大學,學士班(日間),女,956,43,0,0,16,15,0,0,0,1,...,...,11
105,1,公立,一般大學,0016,國立陽明大學,碩士班(日間),女,661,30,0,0,3,16,0,0,0,3,...,...,6
105,1,公立,一般大學,0016,國立陽明大學,碩士在職專班,女,93,2,0,0,0,1,0,0,0,0,...,...,1
105,1,公立,一般大學,0016,國立陽明大學,博士班,女,371,7,0,0,0,3,0,0,0,1,...,...,3
105,1,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2665,56,10,0,26,12,0,0,0,1,...,...,6
105,1,公立,一般大學,0017,國立臺北大學,學士班(進修),男,744,56,19,0,16,8,0,0,0,4,...,...,1
105,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,669,28,0,0,2,11,0,0,0,2,...,...,10
105,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,210,6,1,0,0,2,0,0,0,0,...,...,2
105,1,公立,一般大學,0017,國立臺北大學,博士班,男,128,5,0,0,0,3,0,0,0,0,...,...,1
105,1,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3213,57,3,0,31,22,0,0,0,0,...,...,0
105,1,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1158,48,11,0,21,6,0,0,0,5,...,...,3
105,1,公立,一般大學,0017,國立臺北大學,碩士班(日間),女,655,31,0,0,0,16,0,0,0,4,...,...,8
105,1,公立,一般大學,0017,國立臺北大學,碩士在職專班,女,260,10,1,0,0,1,0,0,0,5,...,...,1
105,1,公立,一般大學,0017,國立臺北大學,博士班,女,64,2,0,0,0,1,0,0,0,1,...,...,0
105,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),男,4032,121,14,0,80,17,0,0,0,1,...,...,3
105,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),男,1220,83,12,0,26,24,0,0,0,5,...,...,6
105,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),男,719,41,1,0,5,18,0,0,0,7,...,...,6
105,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,男,406,22,2,0,0,7,0,0,0,5,...,...,5
105,1,公立,一般大學,0018,國立嘉義大學,博士班,男,100,5,1,0,0,3,0,0,0,1,...,...,0
105,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),女,3808,95,3,0,66,20,0,0,0,3,...,...,2
105,1,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,881,51,2,0,15,17,0,0,0,1,...,...,8
105,1,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,723,59,4,0,6,23,0,0,2,12,...,...,5
105,1,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,565,29,1,0,1,10,0,0,2,1,...,...,6
105,1,公立,一般大學,0018,國立嘉義大學,博士班,女,91,3,0,0,1,1,0,0,0,0,...,...,1
105,1,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2453,101,31,0,3,15,0,0,0,2,...,...,30
105,1,公立,一般大學,0019,國立高雄大學,學士班(進修),男,104,7,1,0,0,5,0,0,0,0,...,...,1
105,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,445,30,1,0,1,19,0,0,0,3,...,...,1
105,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,271,21,0,0,1,13,0,0,0,3,...,...,2
105,1,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1790,49,4,0,3,11,0,0,0,0,...,...,22
105,1,公立,一般大學,0019,國立高雄大學,學士班(進修),女,61,1,0,0,0,0,0,0,0,0,...,...,0
105,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,194,14,0,0,2,7,0,0,0,2,...,...,2
105,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,171,10,0,0,0,5,0,0,0,1,...,...,0
105,1,公立,一般大學,0020,國立東華大學,學士班(日間),男,3716,95,0,0,39,27,0,0,0,1,...,...,6
105,1,公立,一般大學,0020,國立東華大學,碩士班(日間),男,918,81,2,0,7,41,0,0,0,11,...,...,4
105,1,公立,一般大學,0020,國立東華大學,碩士在職專班,男,268,20,0,0,0,10,0,0,0,2,...,...,0
105,1,公立,一般大學,0020,國立東華大學,博士班,男,223,21,3,0,2,10,0,0,0,2,...,...,1
105,1,公立,一般大學,0020,國立東華大學,學士班(日間),女,3881,65,1,0,34,15,0,0,1,2,...,...,2
105,1,公立,一般大學,0020,國立東華大學,碩士班(日間),女,755,69,1,0,7,38,0,0,0,15,...,...,0
105,1,公立,一般大學,0020,國立東華大學,碩士在職專班,女,349,20,2,0,2,4,0,0,0,4,...,...,1
105,1,公立,一般大學,0020,國立東華大學,博士班,女,135,5,0,0,3,1,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),男,2168,42,14,0,6,17,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),男,523,33,2,0,1,26,0,0,0,1,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,男,225,7,0,0,0,3,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,博士班,男,193,6,0,0,0,3,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),女,2404,21,0,0,4,17,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),女,464,19,0,0,1,15,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,女,222,4,1,0,1,1,0,0,0,0,...,...,0
105,1,公立,一般大學,0021,國立暨南國際大學,博士班,女,154,5,0,0,0,4,0,0,0,0,...,...,0
105,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),男,3863,64,28,0,13,14,0,0,2,0,...,...,1
105,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),男,2361,50,6,0,3,7,0,0,0,7,...,...,11
105,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,男,507,33,10,0,0,3,0,0,0,3,...,...,6
105,1,公立,技專校院,0022,國立臺灣科技大學,博士班,男,780,59,10,0,1,10,0,0,0,7,...,...,5
105,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),女,1754,20,3,0,10,5,0,0,0,1,...,...,0
105,1,公立,技專校院,0022,國立臺灣科技大學,學士班(進修),女,18,1,0,0,0,1,0,0,0,0,...,...,0
105,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),女,991,28,0,0,1,6,0,0,1,2,...,...,5
105,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,女,237,4,1,0,0,1,0,0,0,0,...,...,0
105,1,公立,技專校院,0022,國立臺灣科技大學,博士班,女,210,18,7,0,0,0,0,0,1,2,...,...,5
105,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),男,3866,69,18,0,1,15,0,0,0,2,...,...,26
105,1,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),男,1273,59,0,0,4,32,0,0,0,8,...,...,3
105,1,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,男,432,24,0,0,0,14,0,0,0,1,...,...,2
105,1,公立,技專校院,0023,國立雲林科技大學,博士班,男,297,25,1,0,0,11,0,0,0,2,...,...,4
105,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),女,2645,21,1,0,1,5,0,0,0,0,...,...,10
105,1,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),女,750,34,0,0,1,18,0,0,0,2,...,...,10
105,1,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,女,335,19,0,0,0,10,0,0,0,2,...,...,2
105,1,公立,技專校院,0023,國立雲林科技大學,博士班,女,154,14,4,0,0,1,0,0,0,0,...,...,3
105,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),男,4064,87,20,0,35,19,0,0,0,0,...,...,8
105,1,公立,技專校院,0024,國立屏東科技大學,學士班(進修),男,828,39,8,0,11,13,0,0,0,0,...,...,2
105,1,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),男,720,41,0,0,1,34,0,0,0,0,...,...,1
105,1,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,男,308,23,0,0,0,13,0,0,0,0,...,...,4
105,1,公立,技專校院,0024,國立屏東科技大學,博士班,男,170,6,0,0,0,3,0,0,0,0,...,...,1
105,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),女,3754,62,3,0,32,18,0,0,0,0,...,...,6
105,1,公立,技專校院,0024,國立屏東科技大學,學士班(進修),女,741,36,2,0,14,11,0,0,0,0,...,...,3
105,1,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),女,510,31,0,0,2,19,0,0,0,0,...,...,6
105,1,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,女,163,12,0,0,1,7,0,0,0,0,...,...,0
105,1,公立,技專校院,0024,國立屏東科技大學,博士班,女,85,7,0,0,1,4,0,0,0,0,...,...,0
105,1,公立,技專校院,0025,國立臺北科技大學,學士班(進修),男,1345,45,1,0,2,19,0,0,0,6,...,...,5
105,1,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),男,2067,66,1,0,0,47,0,0,0,0,...,...,4
105,1,公立,技專校院,0025,國立臺北科技大學,博士班,男,549,32,0,0,0,22,0,0,0,0,...,...,0
105,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),女,26,1,0,0,1,0,0,0,0,0,...,...,0
105,1,公立,技專校院,0025,國立臺北科技大學,學士班(進修),女,381,14,1,0,1,5,0,0,1,0,...,...,0
105,1,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),女,667,15,0,0,0,7,0,0,0,0,...,...,0
105,1,公立,技專校院,0025,國立臺北科技大學,博士班,女,146,11,0,0,0,6,0,0,1,1,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,學士班(日間),男,2850,68,9,0,25,25,0,0,0,0,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,碩士班(日間),男,662,56,3,0,2,31,0,0,0,4,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,碩士在職專班,男,504,53,5,0,0,29,0,0,0,3,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,博士班,男,178,13,4,0,0,4,0,0,0,3,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,學士班(日間),女,2872,34,2,0,13,13,0,0,0,1,...,...,3
105,1,公立,技專校院,0026,國立高雄第一科技大學,碩士班(日間),女,403,24,1,0,1,14,0,0,0,0,...,...,4
105,1,公立,技專校院,0026,國立高雄第一科技大學,碩士在職專班,女,212,20,0,0,1,8,0,0,0,2,...,...,0
105,1,公立,技專校院,0026,國立高雄第一科技大學,博士班,女,49,3,1,0,0,1,0,0,0,0,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,學士班(日間),男,4835,91,27,0,32,26,0,0,0,0,...,...,3
105,1,公立,技專校院,0027,國立高雄應用科技大學,學士班(進修),男,1082,66,16,0,15,23,0,0,0,9,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,碩士班(日間),男,962,44,0,0,7,23,0,0,0,2,...,...,1
