學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0018,國立嘉義大學,學士班(進修),女,881,73,5,10,15,4,20,3,3,...,...,...,...,...,...,...,13
105,公立,一般大學,0018,國立嘉義大學,碩士班(日間),女,723,174,9,12,2,4,70,4,15,...,...,...,...,...,...,...,58
105,公立,一般大學,0018,國立嘉義大學,碩士在職專班,女,565,142,19,5,2,0,62,12,26,...,...,...,...,...,...,...,16
105,公立,一般大學,0018,國立嘉義大學,博士班,女,91,24,5,0,0,0,9,1,0,...,...,...,...,...,...,...,9
105,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2453,104,5,6,35,22,18,0,0,...,...,...,...,...,...,...,18
105,公立,一般大學,0019,國立高雄大學,學士班(進修),男,104,29,2,2,0,0,22,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,445,93,5,13,12,11,29,0,1,...,...,...,...,...,...,...,22
105,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,271,97,3,5,3,0,76,0,3,...,...,...,...,...,...,...,7
105,公立,一般大學,0019,國立高雄大學,博士班,男,20,3,2,0,0,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1790,44,8,1,11,15,3,0,1,...,...,...,...,...,...,...,5
105,公立,一般大學,0019,國立高雄大學,學士班(進修),女,61,14,3,2,1,0,7,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,194,39,2,6,3,0,20,0,2,...,...,...,...,...,...,...,6
105,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,171,59,1,1,2,0,41,4,3,...,...,...,...,...,...,...,7
105,公立,一般大學,0020,國立東華大學,學士班(日間),男,3716,193,11,15,11,75,24,0,1,...,...,...,...,...,...,...,56
105,公立,一般大學,0020,國立東華大學,碩士班(日間),男,918,251,5,32,21,21,90,0,10,...,...,...,...,...,...,...,72
105,公立,一般大學,0020,國立東華大學,碩士在職專班,男,268,83,0,7,2,2,54,0,9,...,...,...,...,...,...,...,9
105,公立,一般大學,0020,國立東華大學,博士班,男,223,79,1,3,2,0,57,0,5,...,...,...,...,...,...,...,11
105,公立,一般大學,0020,國立東華大學,學士班(日間),女,3881,133,19,13,10,60,9,0,1,...,...,...,...,...,...,...,21
105,公立,一般大學,0020,國立東華大學,碩士班(日間),女,755,281,6,33,16,19,131,5,28,...,...,...,...,...,...,...,43
105,公立,一般大學,0020,國立東華大學,碩士在職專班,女,349,116,11,4,3,1,56,7,15,...,...,...,...,...,...,...,19
105,公立,一般大學,0020,國立東華大學,博士班,女,135,54,3,1,0,3,27,1,8,...,...,...,...,...,...,...,11
105,公立,一般大學,0021,國立暨南國際大學,學士班(日間),男,2168,65,4,2,13,29,8,0,0,...,...,...,...,...,...,...,9
105,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),男,523,98,8,2,11,30,22,0,1,...,...,...,...,...,...,...,24
105,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,男,225,33,1,0,1,3,24,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0021,國立暨南國際大學,博士班,男,193,59,6,0,6,15,19,0,3,...,...,...,...,...,...,...,10
105,公立,一般大學,0021,國立暨南國際大學,學士班(日間),女,2404,54,15,1,6,31,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),女,464,99,12,1,14,15,38,3,8,...,...,...,...,...,...,...,8
105,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,女,222,27,3,0,2,5,13,0,2,...,...,...,...,...,...,...,2
105,公立,一般大學,0021,國立暨南國際大學,博士班,女,154,36,4,0,3,3,12,2,10,...,...,...,...,...,...,...,2
105,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),男,3823,138,14,7,35,20,10,0,0,...,...,...,...,...,...,...,52
105,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),男,2361,159,10,6,1,5,39,0,3,...,...,...,...,...,...,...,95
105,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,男,507,123,2,0,4,0,78,0,17,...,...,...,...,...,...,...,22
105,公立,技專校院,0022,國立臺灣科技大學,博士班,男,780,189,5,5,17,0,71,0,18,...,...,...,...,...,...,...,73
