學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),2,2,0,2.99
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),3,3,0,1.74
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),2,1,1,4.08
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),7,3,4,8.97
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),1,1,0,1.75
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),5,3,2,10.87
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),2,0,2,3.70
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),1,0,1,2.50
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),1,1,0,1.89
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),2,0,2,5.26
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),4,2,2,2.25
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),1,1,0,0.68
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),2,1,1,20.00
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),6,5,1,1.70
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),23,12,11,21.10
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),6,4,2,3.92
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),8,7,1,3.16
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),1,1,0,0.28
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),4,3,1,2.90
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),5,3,2,2.60
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),1,0,1,0.86
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),6,3,3,10.53
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),3,2,1,1.14
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),8,3,5,5.06
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),21,1,20,3.86
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),66,21,45,19.64
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),23,12,11,3.06
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),6,4,2,2.94
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),6,4,2,3.66
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),11,4,7,2.14
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),9,1,8,2.21
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),7,5,2,3.76
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),5,3,2,2.81
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),2,1,1,1.20
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),3,2,1,1.44
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),16,9,7,3.04
