學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),346,108,238
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),216,19,197
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),58,10,48
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,15,6,9
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),47,15,32
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,博士班,27,12,15
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),68,15,53
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),204,41,163
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,60,33,27
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),78,22,56
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),141,32,109
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),57,13,44
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士在職專班,58,9,49
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,16,7,9
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),46,20,26
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),460,201,259
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,21,14,7
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),54,23,31
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),177,41,136
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),100,27,73
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,碩士在職專班,113,12,101
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,14,6,8
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),76,42,34
106,公立,一般大學,0002,國立清華大學,03143013,台灣研究教師在職進修碩士學位班,碩士在職專班,60,20,40
106,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),29,11,18
106,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,碩士班(日間),15,8,7
106,公立,一般大學,0002,國立清華大學,04121019,科技管理學院財務金融碩士在職專班,碩士在職專班,46,19,27
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),225,93,132
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),50,25,25
106,公立,一般大學,0002,國立清華大學,04131016,經營管理碩士在職專班,碩士在職專班,145,98,47
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),58,30,28
106,公立,一般大學,0002,國立清華大學,04134014,科技管理學院公共政策與管理碩士在職專班,碩士在職專班,35,15,20
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,35,18,17
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),64,29,35
106,公立,一般大學,0002,國立清華大學,04199021,高階經營管理碩士在職專班,碩士在職專班,108,73,35
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,13,9,4
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),57,24,33
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),207,89,118
106,公立,一般大學,0002,國立清華大學,04211B01,學士後法律學士學位學程,學士班(日間),32,21,11
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,博士班,7,7,0
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),108,54,54
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),137,73,64
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,碩士班(日間),21,15,6
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),193,106,87
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,52,38,14
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),59,30,29
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,29,20,9
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),40,20,20
106,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,10,5,5
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,64,32,32
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),53,34,19
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,博士班,35,13,22
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),38,18,20
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),109,58,51
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),25,16,9
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),187,82,105
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),33,14,19
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士在職專班,25,6,19
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),278,184,94
106,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,142,113,29
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),178,122,56
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),290,238,52
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,61,55,6
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),146,130,16
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,13,9,4
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),10,7,3
106,公立,一般大學,0002,國立清華大學,05399040,先進光源科技博士學位學程,博士班,4,3,1
106,公立,一般大學,0002,國立清華大學,05399040,先進光源科技碩士學位學程,碩士班(日間),16,12,4
106,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),98,80,18
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),265,217,48
106,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,22,21,1
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),67,60,7
106,公立,一般大學,0002,國立清華大學,05411092,應用數學系,學士班(日間),125,92,33
106,公立,一般大學,0002,國立清華大學,05411092,應用數學系,碩士班(日間),16,13,3
106,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,碩士班(日間),12,11,1
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,博士班,8,6,2
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),52,41,11
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),579,453,126
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,72,66,6
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),352,270,82
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,18,13,5
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),109,71,38
106,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,11,1
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),234,171,63
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,105,82,23
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),153,111,42
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),407,274,133
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,153,130,23
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),253,191,62
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,29,24,5
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),46,38,8
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),404,318,86
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,98,78,20
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),172,144,28
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),440,372,68
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,80,73,7
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),363,306,57
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,51,46,5
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),192,163,29
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,28,28,0
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),118,99,19
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,20,16,4
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),138,116,22
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),114,92,22
106,公立,一般大學,0002,國立清華大學,07141C01,積體電路設計與製程開發產業碩士專班,碩士班(日間),6,5,1
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),457,380,77
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,91,82,9
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),281,235,46
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),273,163,110
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,50,37,13
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),192,117,75
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士在職專班,116,84,32
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),189,106,83
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,54,40,14
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),116,63,53
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),28,16,12
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,45,33,12
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),57,40,17
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),77,51,26
106,公立,一般大學,0002,國立清華大學,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),10,6,4
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),127,86,41
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),84,41,43
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,31,22,9
