學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,04134022,公共事務研究所,碩士班(日間),4,1,3,8.16
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,碩士班(日間),4,1,3,6.35
106,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,碩士班(日間),1,0,1,1.52
106,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,碩士班(日間),2,1,1,3.57
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,碩士班(日間),1,0,1,0.87
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,碩士班(日間),2,1,1,2.44
106,公立,一般大學,0003,國立臺灣大學,05321053,氣候變遷與永續發展國際碩士學位學程,碩士班(日間),1,0,1,5.00
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),13,8,5,9.03
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),8,1,7,6.50
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),4,2,2,8.00
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,碩士班(日間),10,7,3,4.33
106,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,碩士班(日間),11,7,4,11.70
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,碩士班(日間),4,1,3,6.56
106,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,碩士班(日間),2,0,2,1.46
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,碩士班(日間),19,8,11,3.85
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,碩士班(日間),5,3,2,2.54
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,碩士班(日間),1,1,0,2.44
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,碩士班(日間),4,4,0,2.17
106,公立,一般大學,0003,國立臺灣大學,05332058,天文物理研究所,碩士班(日間),1,0,1,7.14
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,碩士班(日間),1,1,0,2.04
106,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,碩士班(日間),10,9,1,10.42
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,碩士班(日間),2,2,0,0.99
106,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,碩士班(日間),1,1,0,1.49
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,碩士班(日間),4,1,3,4.00
