學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),...,...,4,2,2,0,0,0,0,0,0,0,0,0,4,2,2
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),...,...,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),...,...,5,1,4,4,1,3,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,01131084,教育與學習科技學系,學士班(日間),...,...,4,1,3,1,0,1,1,0,1,2,1,1,0,0,0
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),...,...,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),...,...,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),...,...,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),...,...,3,0,3,1,0,1,0,0,0,0,0,0,2,0,2
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),...,...,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),...,...,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),...,...,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),...,...,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),...,...,9,2,7,4,1,3,0,0,0,1,0,1,4,1,3
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),...,...,4,3,1,2,1,1,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),...,...,4,2,2,0,0,0,2,1,1,2,1,1,0,0,0
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),...,...,7,3,4,0,0,0,0,0,0,0,0,0,7,3,4
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),...,...,4,1,3,3,1,2,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),...,...,7,2,5,0,0,0,0,0,0,0,0,0,7,2,5
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),...,...,19,10,9,19,10,9,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),...,...,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,...,...,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),...,...,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),...,...,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
