學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),3,2,1,1.33
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),7,4,3,3.38
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),4,4,0,2.92
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),6,4,2,5.50
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),21,19,2,7.24
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),15,10,5,5.66
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),26,21,5,4.49
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),8,7,1,1.98
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),5,4,1,4.39
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),24,23,1,5.25
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),21,9,12,19.63
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,3,1,2,25.00
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,5,2,3,33.33
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,2,2,0,14.29
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,9,6,3,69.23
106,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,1,1,0,10.00
106,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,73,62,11,51.41
106,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,2,2,0,9.09
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,18,13,5,17.14
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,20,16,4,13.07
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,8,8,0,10.00
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,7,6,1,13.73
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,6,5,1,30.00
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,9,6,3,16.67
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,10,7,3,32.26
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),4,1,3,3.54
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),2,1,1,3.17
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),20,4,16,5.78
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),15,12,3,7.58
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),12,4,8,3.47
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),13,1,12,6.02
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),18,5,13,8.82
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),9,4,5,6.38
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),23,14,9,5.00
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),6,4,2,3.11
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),10,6,4,5.35
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),20,15,5,7.19
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),13,9,4,5.56
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),8,6,2,1.97
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),6,6,0,1.36
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),26,12,14,9.52
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),13,8,5,6.88
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),1,0,1,1.30
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),1,0,1,0.79
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),7,3,4,8.33
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,9,3,6,13.64
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,5,4,1,20.83
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,7,4,3,11.67
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,6,2,4,37.50
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,5,4,1,23.81
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,9,3,6,25.71
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,5,2,3,9.62
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,7,4,3,24.14
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,13,10,3,20.31
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,博士班,2,1,1,5.71
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,11,8,3,18.03
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,1,1,0,7.69
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,5,4,1,6.94
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,5,4,1,27.78
106,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,11,1,100.00
