學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),8,5,3,5,2,3,2.83
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),2,1,1,1,1,0,1.33
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),3,3,0,1,1,0,2.92
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),3,2,1,2,2,0,2.59
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),4,3,1,5,3,2,4.81
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),13,8,5,7,7,0,7.19
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),7,6,1,12,11,1,6.55
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),8,5,3,8,7,1,2.76
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),6,4,2,3,2,1,3.85
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),5,4,1,2,2,0,1.72
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),3,3,0,1,1,0,0.91
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),13,6,7,2,1,1,5.49
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),3,1,2,8,5,3,5.82
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),1,0,1,0,0,0,1.30
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),5,1,4,2,2,0,8.33
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),14,7,7,3,1,2,15.89
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,1,1,0,1,1,0,3.33
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),1,1,0,1,1,0,3.51
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),1,0,1,0,0,0,3.03
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),1,1,0,1,1,0,2.99
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),1,1,0,0,0,0,1.92
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),1,1,0,0,0,0,0.58
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),1,1,0,0,0,0,0.85
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),5,4,1,2,2,0,2.49
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),3,1,2,6,1,5,4.76
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),9,5,4,6,3,3,8.06
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),6,0,6,5,1,4,4.14
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),11,4,7,2,1,1,2.20
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),14,4,10,6,4,2,6.90
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),13,4,9,3,2,1,7.62
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),17,8,9,1,0,1,3.32
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),39,14,25,10,5,5,6.14
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),1,0,1,5,2,3,6.38
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),10,4,6,7,5,2,5.86
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),1,0,1,5,4,1,3.68
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),5,4,1,2,2,0,2.52
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),5,4,1,4,4,0,4.05
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),15,10,5,3,3,0,3.81
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),28,23,5,15,15,0,5.34
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),11,7,4,3,2,1,8.64
106,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),7,4,3,6,3,3,11.82
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),13,5,8,2,2,0,8.93
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),5,2,3,5,3,2,7.87
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),18,10,8,12,7,5,10.95
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),19,6,13,20,9,11,11.64
106,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),12,6,6,5,3,2,8.06
106,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),60,33,27,10,5,5,6.99
106,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),10,3,7,4,2,2,8.59
106,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),4,0,4,3,1,2,4.27
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,0,0,0,1,1,0,14.29
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,1,1,0,0,0,0,2.04
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,1,0,1,1,1,0,3.85
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),11,4,7,8,4,4,7.20
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),7,3,4,7,3,4,8.86
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),18,4,14,14,5,9,5.88
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),14,5,9,13,7,6,8.04
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),19,9,10,15,9,6,4.52
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),4,3,1,6,4,2,4.90
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),4,2,2,5,3,2,5.49
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),14,4,10,1,1,0,2.91
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),13,4,9,0,0,0,3.19
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),5,0,5,0,0,0,1.31
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),12,4,8,5,4,1,9.14
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),10,7,3,1,0,1,6.18
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),6,4,2,14,6,8,11.98
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),4,1,3,5,5,0,4.31
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),18,15,3,10,8,2,5.32
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),15,14,1,3,3,0,8.57
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),24,23,1,18,18,0,6.46
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),12,8,4,3,2,1,8.29
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),3,3,0,4,3,1,3.68
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),16,11,5,17,13,4,6.93
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),5,2,3,4,3,1,4.48
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),9,5,4,9,6,3,7.79
106,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),16,8,8,2,2,0,10.06
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),12,4,8,3,1,2,5.91
106,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),10,1,9,1,0,1,7.24
106,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),8,3,5,6,2,4,11.20
106,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),10,1,9,12,1,11,14.10
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),12,3,9,5,3,2,7.14
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,博士班,0,0,0,1,1,0,7.14
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,1,0,1,1,1,0,4.44
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,博士班,0,0,0,1,1,0,7.69
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,博士班,1,1,0,0,0,0,3.70
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,博士班,1,1,0,0,0,0,1.49
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,博士班,1,0,1,0,0,0,2.78
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,博士班,1,1,0,0,0,0,1.82
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,博士班,0,0,0,1,1,0,3.70
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,博士班,1,1,0,0,0,0,4.55
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,博士班,1,1,0,0,0,0,0.74
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,博士班,1,1,0,0,0,0,1.15
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,博士班,0,0,0,1,1,0,0.75
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,博士班,1,1,0,0,0,0,1.52
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,博士班,1,1,0,0,0,0,3.57
106,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,博士班,1,1,0,0,0,0,1.35
106,公立,一般大學,0003,國立臺灣大學,07211099,食品科技研究所,博士班,3,2,1,0,0,0,10.71
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,博士班,1,0,1,0,0,0,2.94
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,博士班,1,1,0,0,0,0,5.56
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,博士班,1,1,0,1,1,0,11.76
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),3,2,1,6,1,5,4.27
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,0,0,0,1,0,1,2.44
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,博士班,1,0,1,1,1,0,6.06
106,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,博士班,0,0,0,1,0,1,7.69
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,博士班,0,0,0,2,2,0,1.96
106,公立,一般大學,0003,國立臺灣大學,05331055,應用物理學研究所,博士班,0,0,0,1,1,0,3.45
106,公立,一般大學,0003,國立臺灣大學,05332058,天文物理研究所,博士班,1,1,0,1,1,0,20.00
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,博士班,1,1,0,0,0,0,1.61
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,博士班,2,2,0,0,0,0,1.68
106,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,博士班,0,0,0,1,1,0,2.78
106,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,博士班,0,0,0,1,0,1,1.96
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,博士班,1,0,1,0,0,0,3.23
106,公立,一般大學,0003,國立臺灣大學,09121048,微生物學研究所,博士班,1,1,0,0,0,0,3.85
106,公立,一般大學,0003,國立臺灣大學,09121109,分子醫學研究所,博士班,2,1,1,0,0,0,9.52
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,博士班,1,0,1,0,0,0,3.70
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,博士班,0,0,0,1,1,0,5.56
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),1,1,0,0,0,0,2.86
