學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,私立,技專校院,1026,樹德科技大學,學士班(進修),1602,857,745
111,私立,技專校院,1026,樹德科技大學,碩士班(日間),233,87,146
111,私立,技專校院,1026,樹德科技大學,碩士在職專班,323,145,178
111,私立,技專校院,1026,樹德科技大學,博士班,33,16,17
111,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學士班(日間),2558,1041,1517
111,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士班(日間),383,119,264
111,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士在職專班,19,5,14
111,私立,一般大學,1027,慈濟學校財團法人慈濟大學,博士班,97,48,49
111,私立,一般大學,1028,臺北醫學大學,學士班(日間),4543,1909,2634
111,私立,一般大學,1028,臺北醫學大學,碩士班(日間),699,228,471
111,私立,一般大學,1028,臺北醫學大學,碩士在職專班,300,92,208
111,私立,一般大學,1028,臺北醫學大學,博士班,612,324,288
111,私立,一般大學,1029,中山醫學大學,學士班(日間),5983,2125,3858
111,私立,一般大學,1029,中山醫學大學,學士班(進修),113,40,73
111,私立,一般大學,1029,中山醫學大學,碩士班(日間),537,177,360
111,私立,一般大學,1029,中山醫學大學,碩士在職專班,168,30,138
111,私立,一般大學,1029,中山醫學大學,博士班,181,106,75
111,私立,技專校院,1030,龍華科技大學,五專,823,742,81
111,私立,技專校院,1030,龍華科技大學,學士班(日間),7565,5158,2407
111,私立,技專校院,1030,龍華科技大學,學士班(進修),2851,2200,651
111,私立,技專校院,1030,龍華科技大學,碩士班(日間),359,243,116
111,私立,技專校院,1030,龍華科技大學,碩士在職專班,122,91,31
111,私立,技專校院,1031,輔英科技大學,五專,2652,328,2324
111,私立,技專校院,1031,輔英科技大學,學士班(日間),4845,1510,3335
111,私立,技專校院,1031,輔英科技大學,學士班(進修),1368,528,840
111,私立,技專校院,1031,輔英科技大學,碩士班(日間),154,31,123
111,私立,技專校院,1031,輔英科技大學,碩士在職專班,79,2,77
111,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(日間),23,21,2
111,私立,技專校院,1032,明新學校財團法人明新科技大學,二專(進修),207,135,72
111,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(日間),6562,3932,2630
111,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(進修),3117,1904,1213
111,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士班(日間),343,197,146
111,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士在職專班,304,199,105
111,私立,一般大學,1033,長榮大學,學士班(日間),6133,2894,3239
111,私立,一般大學,1033,長榮大學,學士班(進修),260,194,66
111,私立,一般大學,1033,長榮大學,碩士班(日間),244,98,146
111,私立,一般大學,1033,長榮大學,碩士在職專班,96,56,40
111,私立,一般大學,1033,長榮大學,博士班,50,36,14
111,私立,技專校院,1034,弘光科技大學,二專(日間),11,5,6
111,私立,技專校院,1034,弘光科技大學,二專(進修),122,14,108
111,私立,技專校院,1034,弘光科技大學,五專,266,31,235
111,私立,技專校院,1034,弘光科技大學,學士班(日間),7682,2511,5171
111,私立,技專校院,1034,弘光科技大學,學士班(進修),3724,1429,2295
111,私立,技專校院,1034,弘光科技大學,碩士班(日間),184,48,136
111,私立,技專校院,1034,弘光科技大學,碩士在職專班,102,32,70
