學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1210,180,180,9,6,15,2,45,1,10,0,5,45,5,9,14,14,0,0,0
112,公立,一般大學,0013,國立中正大學,碩士在職專班,女,868,182,182,12,1,2,2,50,10,19,0,1,55,0,15,8,7,0,0,0
112,公立,一般大學,0013,國立中正大學,博士班,女,205,55,55,2,0,0,0,15,4,7,0,1,17,0,5,0,4,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1945,98,95,4,4,54,0,11,0,0,5,7,0,7,1,2,0,3,0,3
112,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,567,118,118,2,4,1,0,51,0,2,1,2,41,1,12,1,0,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,496,183,183,19,0,5,0,97,0,15,3,0,31,0,12,1,0,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,博士班,男,204,53,53,0,3,0,0,12,0,6,0,1,25,0,5,0,1,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,2043,93,93,4,7,47,0,9,1,0,0,11,0,10,3,1,0,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,999,251,251,4,3,2,0,82,3,21,0,10,105,3,13,5,0,0,0,0
112,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,924,310,310,14,3,12,0,154,11,44,0,4,45,1,20,2,0,0,0,0
