學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0002,國立清華大學,02322109,中國語文學系語文教師碩士在職專班,碩士在職專班,2,1,1
111,公立,一般大學,0002,國立清華大學,02322109,中國語文學系語文碩士在職專班,碩士在職專班,10,2,8
111,公立,一般大學,0002,國立清華大學,02323114,華文文學研究所,碩士班(日間),49,12,37
111,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),38,19,19
111,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,17,9,8
111,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),489,202,287
111,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),55,31,24
111,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,11,5,6
111,公立,一般大學,0002,國立清華大學,03121139,台北政經學院政治經濟碩士班,碩士班(日間),14,10,4
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),186,44,142
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),152,35,117
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,博士班,21,12,9
111,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,碩士在職專班,138,21,117
111,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),92,49,43
111,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,15,7,8
111,公立,一般大學,0002,國立清華大學,03143013,台灣研究教師在職進修碩士學位班,碩士在職專班,74,15,59
111,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),2,1,1
111,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,碩士班(日間),81,27,54
111,公立,一般大學,0002,國立清華大學,04121019,科技管理學院財務金融碩士在職專班,碩士在職專班,50,15,35
111,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),250,115,135
111,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),46,23,23
111,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,博士班,6,3,3
