學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),女,50,10,10,0,0,0,0,2,0,2,0,0,6,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,女,26,6,5,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,男,6,10,10,1,0,0,0,2,0,0,1,0,5,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,女,61,36,31,0,0,0,0,14,0,5,0,0,11,0,1,0,0,5,0,5
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,男,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,女,9,9,7,0,0,0,0,1,0,3,0,0,1,0,1,0,1,2,0,2
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),男,14,6,5,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),女,50,13,8,0,0,0,0,3,0,0,0,1,3,0,0,0,1,5,0,5
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),男,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,男,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),女,28,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,女,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),男,209,18,15,2,0,5,1,1,0,0,0,2,0,0,1,0,3,3,0,3
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),男,61,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,男,5,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),女,186,9,5,0,0,1,0,0,0,0,0,2,0,0,0,0,2,4,0,4
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),女,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,女,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),男,17,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),女,23,4,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),男,97,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),男,38,13,12,2,0,1,0,4,0,0,0,0,3,0,2,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,男,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),女,139,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),女,22,7,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,女,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,男,46,23,9,0,0,0,0,5,0,2,0,0,0,0,0,0,2,14,0,14
113,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,女,23,7,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,4
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),男,105,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),男,45,4,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,男,6,4,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),女,165,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),女,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
113,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,女,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,男,61,13,10,0,0,0,0,3,0,4,0,0,1,0,0,0,2,3,0,3
113,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,女,34,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),男,31,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),女,25,8,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),男,57,7,6,0,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,1
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),男,24,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,男,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),女,167,10,7,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,0,3
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),女,74,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1
113,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,女,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),男,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),女,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),男,65,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),男,27,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,男,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),女,114,6,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,2
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),女,36,8,7,1,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,女,6,5,5,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),男,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),女,7,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),男,46,11,10,0,0,0,0,5,0,2,0,0,2,0,0,0,1,1,0,1
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,男,20,7,4,0,0,0,0,2,0,0,0,1,1,0,0,0,0,3,0,3
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),女,18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,女,16,5,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,男,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,女,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
