學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,私立,一般大學,1016,銘傳大學,02123073,商品設計學系,學士班(日間),1,0,1,0.21
111,私立,一般大學,1016,銘傳大學,02125095,時尚與創新管理學士學位學程,學士班(日間),40,4,36,35.71
111,私立,一般大學,1016,銘傳大學,02311010,應用日語學系,學士班(日間),3,1,2,0.62
111,私立,一般大學,1016,銘傳大學,02311031,應用英語學系,學士班(日間),10,2,8,1.65
111,私立,一般大學,1016,銘傳大學,02322002,應用中國文學系,學士班(日間),8,2,6,2.11
111,私立,一般大學,1016,銘傳大學,02323042,華語文教學學系,學士班(日間),5,0,5,1.61
111,私立,一般大學,1016,銘傳大學,03122005,國際事務與外交學士學位學程,學士班(日間),65,28,37,30.52
111,私立,一般大學,1016,銘傳大學,03131054,諮商與工商心理學系,學士班(日間),1,0,1,0.30
111,私立,一般大學,1016,銘傳大學,03211047,廣播電視學系,學士班(日間),52,23,29,12.50
111,私立,一般大學,1016,銘傳大學,03211063,新聞與大眾傳播學士學位學程,學士班(日間),115,31,84,61.17
111,私立,一般大學,1016,銘傳大學,03213064,新媒體暨傳播管理學系,學士班(日間),33,8,25,9.94
111,私立,一般大學,1016,銘傳大學,04111032,會計學系,學士班(日間),1,0,1,0.13
111,私立,一般大學,1016,銘傳大學,04121059,經濟與金融學系,學士班(日間),2,1,1,0.47
111,私立,一般大學,1016,銘傳大學,04131017,國際企業與貿易學士學位學程,學士班(日間),408,148,260,71.08
111,私立,一般大學,1016,銘傳大學,04131036,企業管理學系,學士班(日間),11,4,7,1.34
111,私立,一般大學,1016,銘傳大學,04131061,國際企業學系,學士班(日間),7,4,3,0.92
111,私立,一般大學,1016,銘傳大學,04143015,廣告暨策略行銷學系,學士班(日間),50,19,31,15.72
111,私立,一般大學,1016,銘傳大學,04199027,時尚創意管理學士學位學程,學士班(日間),10,1,9,52.63
111,私立,一般大學,1016,銘傳大學,05121009,生物科技學系,學士班(日間),2,0,2,0.53
111,私立,一般大學,1016,銘傳大學,06134068,資訊科技應用學士學位學程,學士班(日間),8,6,2,44.44
111,私立,一般大學,1016,銘傳大學,06134096,資訊科技應用與管理學士學位學程,學士班(日間),34,30,4,43.04
111,私立,一般大學,1016,銘傳大學,10131044,餐旅管理學系,學士班(日間),80,37,43,20.67
111,私立,一般大學,1016,銘傳大學,10151008,旅遊與觀光學士學位學程,學士班(日間),75,32,43,88.24
111,私立,一般大學,1016,銘傳大學,10151033,觀光事業學系,學士班(日間),17,4,13,6.23
111,私立,一般大學,1016,銘傳大學,10152076,休閒遊憩管理學系,學士班(日間),1,1,0,0.41
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02221078,歷史學系,學士班(日間),1,1,0,0.25
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311082,日本語文學系,學士班(日間),16,7,9,1.73
