學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1007,逢甲大學,學士班(日間),澳門,港澳,18,16,2,0,0,0,0,0,0,18,16,2,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),巴拉圭,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),史瓦帝尼王國,非洲,13,5,8,13,5,8,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),奈及利亞聯邦共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),法國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),泰國,東協,17,3,14,17,3,14,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),烏干達共和國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),莫三比克共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1008,靜宜大學,學士班(日間),智利,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
