學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1007,逢甲大學,04111017,會計學系,學士班(日間),1,0,1,16,8,8,2.25
111,私立,一般大學,1007,逢甲大學,04121025,財務金融學系,學士班(日間),7,4,3,4,4,0,1.51
111,私立,一般大學,1007,逢甲大學,04121028,財務工程與精算學士學位學程,學士班(日間),4,3,1,2,2,0,2.90
111,私立,一般大學,1007,逢甲大學,04122032,財稅學系,學士班(日間),1,1,0,0,0,0,0.21
111,私立,一般大學,1007,逢甲大學,04131019,企業管理學系,學士班(日間),31,16,15,40,26,14,12.70
111,私立,一般大學,1007,逢甲大學,04131021,國際企業管理全英語學士學位學程,學士班(日間),3,1,2,4,2,2,5.51
111,私立,一般大學,1007,逢甲大學,04134086,土地管理學系,學士班(日間),1,1,0,4,3,1,1.11
111,私立,一般大學,1007,逢甲大學,04141024,國際經營與貿易學系,學士班(日間),12,6,6,11,6,5,3.01
111,私立,一般大學,1007,逢甲大學,04141024,國際經營與貿易學系國際企業管理全英語學士班,學士班(日間),5,3,2,5,1,4,7.94
111,私立,一般大學,1007,逢甲大學,04143033,行銷學系,學士班(日間),8,4,4,19,10,9,4.85
111,私立,一般大學,1007,逢甲大學,04199035,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,學士班(日間),2,1,1,6,3,3,7.34
111,私立,一般大學,1007,逢甲大學,04199092,美國加州聖荷西州立大學商學大數據分析雙學士學位學程,學士班(日間),1,0,1,0,0,0,0.88
111,私立,一般大學,1007,逢甲大學,05411039,應用數學系,學士班(日間),0,0,0,3,3,0,0.78
111,私立,一般大學,1007,逢甲大學,05421040,統計學系,學士班(日間),3,2,1,5,4,1,1.89
111,私立,一般大學,1007,逢甲大學,06131048,美國加州舊金山州立大學資訊工程雙學士學位學程,學士班(日間),2,2,0,0,0,0,3.39
111,私立,一般大學,1007,逢甲大學,06131048,資訊工程學系,學士班(日間),36,33,3,48,46,2,8.32
111,私立,一般大學,1007,逢甲大學,06134115,人工智慧技術與應用學士學位學程,學士班(日間),2,1,1,2,1,1,3.81
111,私立,一般大學,1007,逢甲大學,07111068,化學工程學系,學士班(日間),0,0,0,1,1,0,0.21
111,私立,一般大學,1007,逢甲大學,07121075,環境工程與科學學系,學士班(日間),0,0,0,7,6,1,1.68
111,私立,一般大學,1007,逢甲大學,07122077,水利工程與資源保育學系,學士班(日間),0,0,0,1,0,1,0.29
111,私立,一般大學,1007,逢甲大學,07141044,電機工程學系,學士班(日間),0,0,0,4,4,0,0.70
111,私立,一般大學,1007,逢甲大學,07141046,電子工程學系,學士班(日間),2,2,0,12,12,0,2.27
111,私立,一般大學,1007,逢甲大學,07141050,通訊工程學系,學士班(日間),0,0,0,1,1,0,0.20
111,私立,一般大學,1007,逢甲大學,07141052,自動控制工程學系,學士班(日間),1,1,0,0,0,0,0.19
111,私立,一般大學,1007,逢甲大學,07141056,資訊電機學院學士班,學士班(日間),0,0,0,3,3,0,2.40
111,私立,一般大學,1007,逢甲大學,07141095,美國普渡大學電機資訊雙學士學位學程,學士班(日間),1,1,0,0,0,0,1.22
111,私立,一般大學,1007,逢甲大學,07151061,機械與電腦輔助工程學系,學士班(日間),13,13,0,5,5,0,3.45
111,私立,一般大學,1007,逢甲大學,07162059,航太與系統工程學系,學士班(日間),2,2,0,7,7,0,1.88
111,私立,一般大學,1007,逢甲大學,07191072,工業工程與系統管理學系,學士班(日間),1,1,0,5,3,2,1.43
111,私立,一般大學,1007,逢甲大學,07311007,室內設計學士學位學程,學士班(日間),1,1,0,3,1,2,8.00
111,私立,一般大學,1007,逢甲大學,07311081,建築學士學位學程,學士班(日間),0,0,0,4,3,1,1.18
111,私立,一般大學,1007,逢甲大學,07311083,建築專業學院學士班,學士班(日間),2,1,1,7,4,3,3.72
111,私立,一般大學,1007,逢甲大學,07313087,都市計畫與空間資訊學系,學士班(日間),2,2,0,13,10,3,3.73
111,私立,一般大學,1007,逢甲大學,07321063,土木工程學系,學士班(日間),1,1,0,8,7,1,2.07
111,私立,一般大學,1007,逢甲大學,10411093,運輸與物流學系,學士班(日間),7,3,4,5,5,0,2.60
111,私立,一般大學,1008,靜宜大學,02311004,英國語文學系,學士班(日間),2,0,2,1,0,1,0.68
111,私立,一般大學,1008,靜宜大學,02311005,西班牙語文學系,學士班(日間),2,0,2,2,1,1,1.08
111,私立,一般大學,1008,靜宜大學,02311006,日本語文學系,學士班(日間),3,1,2,16,8,8,3.25
111,私立,一般大學,1008,靜宜大學,02322003,中國文學系,學士班(日間),0,0,0,2,0,2,0.51
111,私立,一般大學,1008,靜宜大學,03211008,大眾傳播學系,學士班(日間),7,3,4,17,8,9,8.54
111,私立,一般大學,1008,靜宜大學,04121019,財務金融學系,學士班(日間),0,0,0,1,1,0,0.14
111,私立,一般大學,1008,靜宜大學,04131012,企業管理學系,學士班(日間),3,3,0,3,2,1,0.93
111,私立,一般大學,1008,靜宜大學,04131015,國際企業學系,學士班(日間),1,1,0,1,1,0,0.29
