學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0009,國立中山大學,碩士在職專班,女,558,110,110,6,0,4,0,42,3,21,0,0,14,0,20,0,0,0,0,0
111,公立,一般大學,0009,國立中山大學,博士班,女,296,58,58,7,1,2,0,20,2,9,0,3,7,1,6,0,0,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),男,4188,154,154,9,3,46,33,16,0,0,6,11,0,8,12,7,3,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),男,390,45,44,2,1,7,3,21,0,0,4,1,0,0,4,1,0,1,0,1
111,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),男,976,134,134,9,7,12,2,41,0,1,16,2,16,7,11,6,4,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,男,395,83,83,2,0,1,0,55,0,4,0,0,10,0,8,1,2,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,博士班,男,240,46,46,10,0,0,0,18,0,0,1,1,7,1,7,1,0,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),女,1906,52,52,6,4,16,3,1,0,0,0,10,1,4,2,4,1,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),女,207,22,22,3,0,4,1,7,0,3,0,0,0,0,4,0,0,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),女,502,55,55,2,4,9,0,23,1,0,0,4,5,2,2,2,1,0,0,0
