學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
113,公立,一般大學,0002,國立清華大學,碩士班(日間),緬甸,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),印度,南亞,16,12,4,16,12,4,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),印度尼西亞共和國,東協,10,6,4,10,6,4,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),以色列,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),日本,其他亞洲地區,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),大韓民國(南韓),其他亞洲地區,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),馬來西亞,東協,19,7,12,6,2,4,13,5,8,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),菲律賓共和國,東協,7,1,6,7,1,6,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),泰國,東協,10,2,8,9,2,7,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),越南社會主義共和國,東協,27,6,21,27,6,21,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),香港,港澳,12,5,7,0,0,0,0,0,0,12,5,7,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),澳門,港澳,3,2,1,0,0,0,0,0,0,3,2,1,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),俄羅斯聯邦,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),哈薩克共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),索馬利蘭共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),芬蘭共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),法國,歐洲,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),英國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),德意志聯邦共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),加拿大,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),海地共和國,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
