學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
111,1,公立,一般大學,0019,國立高雄大學,學士班(日間),男,2684,75,46,42,0,0,0,2,1,1,29,9,0,4,16,0
111,1,公立,一般大學,0019,國立高雄大學,學士班(進修),男,58,14,5,0,0,0,0,0,5,0,9,0,0,2,7,0
111,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),男,437,18,6,2,0,0,0,1,3,0,12,2,0,1,9,0
111,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,男,340,24,9,0,0,0,1,0,8,0,15,1,0,4,10,0
111,1,公立,一般大學,0019,國立高雄大學,博士班,男,26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
111,1,公立,一般大學,0019,國立高雄大學,學士班(日間),女,1908,40,30,27,0,0,2,0,1,0,10,0,0,1,9,0
111,1,公立,一般大學,0019,國立高雄大學,學士班(進修),女,66,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0
111,1,公立,一般大學,0019,國立高雄大學,碩士班(日間),女,264,7,2,0,0,1,0,0,1,0,5,0,0,1,4,0
111,1,公立,一般大學,0019,國立高雄大學,碩士在職專班,女,199,18,9,0,0,1,0,1,7,0,9,0,0,2,7,0
111,1,公立,一般大學,0019,國立高雄大學,博士班,女,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
111,1,公立,一般大學,0020,國立東華大學,學士班(日間),男,3745,106,48,44,0,0,3,0,1,0,58,3,0,17,38,0
111,1,公立,一般大學,0020,國立東華大學,碩士班(日間),男,689,42,9,8,0,0,0,0,1,0,33,0,0,14,19,0
111,1,公立,一般大學,0020,國立東華大學,碩士在職專班,男,196,23,5,2,0,1,1,0,1,0,18,0,0,4,14,0
111,1,公立,一般大學,0020,國立東華大學,博士班,男,240,10,3,1,0,0,0,0,2,0,7,0,0,3,4,0
111,1,公立,一般大學,0020,國立東華大學,學士班(日間),女,4133,86,42,35,0,0,2,1,2,2,44,0,0,16,28,0
111,1,公立,一般大學,0020,國立東華大學,碩士班(日間),女,754,55,20,15,0,0,1,0,4,0,35,0,0,14,21,0
111,1,公立,一般大學,0020,國立東華大學,碩士在職專班,女,342,13,1,1,0,0,0,0,0,0,12,0,0,7,5,0
111,1,公立,一般大學,0020,國立東華大學,博士班,女,181,6,3,3,0,0,0,0,0,0,3,0,0,0,3,0
