學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),15,7,8,4.30
112,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),6,0,6,5.31
112,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,博士班,1,0,1,2.63
112,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),20,15,5,8.40
112,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),10,7,3,5.99
112,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,博士班,2,1,1,18.18
112,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,11,9,2,78.57
112,公立,一般大學,0001,國立政治大學,06131095,資訊安全碩士學位學程,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),4,1,3,7.02
112,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),5,0,5,8.33
112,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,博士班,6,2,4,30.00
112,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),14,8,6,7.69
112,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),3,0,3,2.50
112,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,10,2,8,15.38
112,公立,一般大學,0002,國立清華大學,01111112,竹師教育學院學士班,學士班(日間),2,1,1,1.46
112,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),13,1,12,8.18
112,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,碩士班(日間),3,1,2,5.36
112,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),25,1,24,15.06
112,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),9,2,7,13.43
112,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),2,2,0,2.78
112,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),16,5,11,10.81
112,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),5,0,5,14.29
112,公立,一般大學,0002,國立清華大學,01141127,運動科學系,學士班(日間),16,9,7,8.00
112,公立,一般大學,0002,國立清華大學,01141127,運動科學系,碩士班(日間),9,5,4,19.15
112,公立,一般大學,0002,國立清華大學,01199112,竹師教育學院博士班,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,02111136,科技藝術研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),14,2,12,4.27
112,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,碩士班(日間),8,3,5,9.52
112,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),2,0,2,1.27
112,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),1,0,1,1.67
112,公立,一般大學,0002,國立清華大學,02191113,藝術學院學士班,學士班(日間),2,0,2,1.31
112,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),5,4,1,15.63
112,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,6,5,1,35.29
112,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),5,1,4,10.00
112,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,博士班,3,0,3,25.00
112,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),10,8,2,32.26
112,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,博士班,1,1,0,100.00
112,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),4,1,3,80.00
112,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),11,9,2,3.15
112,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),13,3,10,6.81
112,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),6,0,6,17.14
