學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04212033,財經法律研究所,在職,碩士班,13,0,13,0,100.00,南臺科技大學財經法律研究所除了維持傳統財經法律科目的研習外，特別重視學生實務訓練，開設訴狀寫作、契約寫作、智財授權實務、民商審判實務等課程，學生透過親自參與法律實務、了解產業現況，可以更容易找到未來發展的方向。 另本所 本所學生成員涵蓋醫師、銀行經理、公務人員及產業界專家等，各行各業人才齊聚一堂，互相交流，師生得以教學相長。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,05121063,生物與食品科技系,日間,學士班(含四技),70,0,36,0,51.43,1. 課程規劃國際認證: 通過「IEET國際工程與科技教育」認證，教學與國際接軌。 2. 重視實作能力培養：建置應用生技模組化製程類產線工廠，著重發酵製程與劑型實務、生化與生物技術實習、食品檢驗分析、食品加工實驗、食品微生物實驗等實務課程，透過「做中學」學習專業技能與知識。 3. 學術研究與產學合作並重：國科會、教育部及業界廠商產學研究計畫補助經費充足，可提供多元之學術與產學研究資源。  4. 必修專題研究: 透過參與政府部會計劃與產學合作等專題研究，培養學生實驗規劃、實驗執行等能力。 5. 輔導取得專業證照: 輔導學生考取食品品保工程師、食品檢驗分析師、食品技師等專業證照。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,05121063,生物與食品科技系碩士班,日間,碩士班,15,0,6,0,40.00,1. 課程規劃國際認證: 通過「IEET國際工程與科技教育」認證，教學與國際接軌。 2. 學術研究與產學合作並重: 國科會、教育部及業界廠商計畫補助經費充足，可提供多元之學術與產學研究資源。 3. 重視實作教學: 建置應用生技模組化製程類產線工廠，並於大學部開設發酵製程與劑型實務、生化與生物技術實習、食品檢驗分析、食品加工與食品微生物等多元實驗課程，供研究生選修實作課程。 4. 參與研究計畫: 透過參與政府部會計劃與產學合作等專題研究，培養學生實驗規劃與執行能力。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131036,資訊管理系,日間,學士班(含四技),120,0,125,0,100.00,1.課程依業界的趨勢規劃「軟體開發與智慧物聯網應用學程」、「企業e化與大數據應用學程」，並配合實務專題製作，強化學生實作與團隊合作能力，學生專題製作成果參與競賽獲獎無數。  2.軟硬體設備齊全，專題研究領域包含「人工智慧」、「資料探勘與大數據分析」、「軟體工程與專案管理」、「企業電子化與管理決策」、「App研發與行動商務應用」與「數位媒體設計」等。  3.重視產學合作、企業實習、教育部「Digi+Talent 跨域數位人才加速躍升計畫」專題研習，藉以鏈結國內相關法人、研發機構、新創企業，使學生接觸產業最新發展，培養學生企業運作實務技能。  4.與軟微(Microsoft)、甲骨文(Oracle)資訊廠商聯盟，導入實務應用軟體，作為產業合作基礎。5.智慧機器人實驗室引領學生深入「程式設計」、「物聯網應用」及「人工智慧應用」，擴展學生學習與應用視野。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131036,資訊管理系,進修,學士班(含四技),50,0,26,0,52.00,1.強調資訊科技與管理實務的整合應用，依業界趨勢規劃「軟體開發與智慧物聯網應用學程」與「企業e化與大數據應用學程」課程，培養學生企業運作實務技能。  2.與軟微(Microsoft)、甲骨文(Oracle)資訊廠商聯盟，導入實務應用軟體，作為產業合作基礎。  3.智慧機器人實驗室引領學生深入「程式設計」、「物聯網應用」及「人工智慧應用，拓展學生學習與應用視野。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131036,資訊管理系碩士在職專班,在職,碩士班,12,0,10,0,83.33,1.與產業緊密結合，強調資訊科技與管理實務的整合應用，培養資訊管理專業人才。  2.研究課題涵蓋「軟體工程與專案管理」、「資料探勘與大數據分析」、「企業電子化與管理決策」、「人工智慧應用」、「創意思考與創新服務」等資訊與管理領域。  3.與微軟(Microsoft)、甲骨文(Oracle)等跨國企業簽有教學聯盟合作，教學軟硬體設備齊全。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131036,資訊管理系碩士班,日間,碩士班,16,0,14,0,87.50,1.與產業緊密結合，強調資訊科技與管理實務的整合應用，培養資訊管理專業人才。  2.研究課題涵蓋「軟體工程與專案管理」、「資料探勘與大數據分析」、「企業電子化與管理決策」、「人工智慧應用」、「App研發與行動商務應用」、「創意思考與創新服務」、「企業資源規劃管理」等資訊與管理領域。  3.與微軟(Microsoft)、甲骨文(Oracle)等跨國企業簽有教學聯盟合作，教學軟硬體設備齊全。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131043,資訊工程系,日間,學士班(含四技),162,0,176,0,100.00,1.教學品質優良，獲外部評鑑單位肯定，通過IEET工程教育大學部與研究所認證。  2.本系經費充沛，教學設備新穎豐富。連續獲得教育部專案計畫的經費補助。  3.教學重視實作能力，競賽表現卓越。曾獲得「龍騰微笑智聯網創業競賽」、「TDK盃全國大專校院創思設計與製作競賽」、「數位訊號處理創思設計競賽」等重要比賽的冠亞季軍獎項，卓越表現超越全國所有公私立大學。  4.教師學術研究能力傑出，每年均獲得科技部研究型計畫與教育部教學實踐研究計畫補助。 5.重視產學合作，學術研究與實務能力相互搭配，並將研發成果導入教學，績效卓著。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131043,資訊工程系碩士班,日間,碩士班,15,0,12,2,82.35,1.教學品質優良，獲外部評鑑單位肯定，通過IEET工程教育大學部與研究所認證。  2.本系經費充沛，教學設備新穎豐富。連續獲得教育部專案計畫的經費補助。  3.教學重視實作能力，競賽表現卓越。曾獲得「龍騰微笑智聯網創業競賽」、「TDK盃全國大專校院創思設計與製作競賽」、「數位訊號處理創思設計競賽」等重要比賽的冠亞季軍獎項，卓越表現超越全國所有公私立大學。  4.教師學術研究能力傑出，每年均獲得科技部研究型計畫與教育部教學實踐研究計畫補助。 5.重視產學合作，學術研究與實務能力相互搭配，並將研發成果導入教學，績效卓著。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06131043,資訊工程科,日間,五專,63,0,43,0,68.25,1.實務式教學，培養學生具備理論實務化的能力，符合產業界對實用人才之需求。  2.加強電腦語言與網路課程教學，以培養學生有撰寫各種人機介面與網路通訊的能力。  3.創新思維結合產業界建教合作計劃案，注重實用性的軟、硬體系統設計訓練。  4.鼓勵學生參加各種資訊軟體設計及微電腦應用設計比賽，以提高學習興趣與信心。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06132038,多媒體與電腦娛樂科學系,日間,學士班(含四技),55,0,69,3,100.00,本系專注於培育臺灣「遊戲動漫產業」人才的大學系所，具備大學部、進修部及碩士班之完整學制；教師陣容堅強，專長涵蓋遊戲美術設計、遊戲程式設計、3D動畫設計、漫畫創作、視覺特效等，並有4位轉聘自業界之重量級專技教師。自成立以來，致力於教學及研究產業化，創造卓越產學合作績效及亮眼的學生表現，在歷年各大競賽中技壓群雄、屢創佳績，畢業生就業遍佈於各大知名遊戲公司，如智冠科技、鈊象電子、中華網龍…等，已成為臺灣遊戲動漫人才的重要搖籃。,https://recruit.stust.edu.tw/tc/node/feature
111,私立,技專校院,1023,南臺學校財團法人南臺科技大學,06132038,多媒體與電腦娛樂科學系,進修,學士班(含四技),30,0,21,0,70.00,本系專注於培育臺灣「遊戲動漫產業」人才的大學系所，具備大學部、進修部及碩士班之完整學制；教師陣容堅強，專長涵蓋遊戲美術設計、遊戲程式設計、3D動畫設計、漫畫創作、視覺特效等，並有4位轉聘自業界之重量級專技教師。自成立以來，致力於教學及研究產業化，創造卓越產學合作績效及亮眼的學生表現，在歷年各大競賽中技壓群雄、屢創佳績，畢業生就業遍佈於各大知名遊戲公司，如智冠科技、鈊象電子、中華網龍…等，已成為臺灣遊戲動漫人才的重要搖籃。,https://recruit.stust.edu.tw/tc/node/feature
